sid,pid
1,10
2,41
3,93
4,101
5,81
6,54
7,95
8,85
9,66
10,22
11,14
12,16
13,89
14,78
15,68
16,65
17,30
18,44
19,70
20,18
21,13
22,59
23,98
24,43
25,45
26,42
27,91
28,26
29,25
30,38
31,33
32,64
