sid,pid
1,7
2,18
3,1
4,57
5,20
6,46
7,77
8,7
9,36
10,98
11,67
12,44
13,36
14,23
15,45
16,82
17,1
18,82
19,67
20,18
21,64
22,113
23,44
24,90
25,87
26,27
27,98
28,113
29,90
30,87
31,77
32,64
33,45
34,23
35,46
36,20
37,27
38,57
