sid,pid
1,39
2,36
3,13
4,57
5,20
6,18
7,69
8,7
9,10
10,38
11,1
12,44
13,76
14,23
15,64
16,82
17,24
18,46
19,67
20,45
21,81
22,71
23,115
24,90
25,87
26,40
27,98
28,113
29,108
30,26
31,77
32,32
33,47
34,94
35,31
36,42
37,27
38,9
