sid,pid
1,10
2,16
3,93
4,101
5,10
6,54
7,49
8,33
9,66
10,68
11,14
12,93
13,14
14,49
15,68
16,16
17,30
18,13
19,101
20,54
21,13
22,66
23,43
24,43
25,26
26,25
27,26
28,64
29,25
30,30
31,33
32,64
