sid,pid
1,4
2,50
3,51
4,62
5,46
6,16
7,32
8,42
9,24
10,53
11,50
12,35
13,55
14,32
15,58
16,16
17,55
18,44
19,44
20,47
21,58
22,4
23,20
24,13
25,24
26,61
27,6
28,38
29,6
30,51
31,23
32,35
33,60
34,40
35,60
36,23
37,53
38,46
39,42
40,38
41,40
42,61
43,20
44,13
45,62
46,47
