sid,pid
1,59
2,50
3,47
4,10
5,46
6,15
7,20
8,42
9,19
10,53
11,11
12,35
13,55
14,32
15,8
16,6
17,2
18,44
19,22
20,1
21,25
22,61
23,30
24,48
25,24
26,39
27,16
28,38
29,14
30,51
31,23
32,5
33,60
34,40
35,3
36,62
37,9
38,21
39,52
40,58
41,13
42,27
43,43
44,4
45,7
46,49
