sid,pid
1,17
2,50
3,49
4,51
5,46
6,15
7,45
8,42
9,19
10,53
11,11
12,35
13,55
14,32
15,58
16,34
17,27
18,44
19,22
20,1
21,26
22,37
23,8
24,13
25,24
26,39
27,16
28,38
29,41
30,7
31,0
32,5
33,54
34,40
35,48
36,12
37,9
38,21
39,30
40,60
41,28
42,25
43,43
44,59
45,3
46,47
