sid,pid
1,8
2,59
3,53
4,109
5,50
6,8
7,18
8,29
9,123
10,64
11,122
12,54
13,90
14,105
15,40
16,59
17,92
18,81
19,45
20,65
21,6
22,109
23,123
24,46
25,81
26,6
27,54
28,72
29,40
30,138
31,99
32,117
33,138
34,92
35,18
36,90
37,65
38,117
39,53
40,39
41,122
42,4
43,46
44,29
45,39
46,64
47,99
48,72
49,50
50,4
51,45
