sid,pid
1,64
2,36
3,13
4,57
5,20
6,39
7,69
8,7
9,10
10,38
11,27
12,44
13,76
14,23
15,101
16,82
17,41
18,46
19,67
20,18
21,81
22,71
23,115
24,90
25,87
26,40
27,98
28,113
29,108
30,26
31,77
32,32
33,45
34,94
35,24
36,42
37,31
38,9
