sid,pid
1,81
2,16
3,38
4,101
5,81
6,33
7,95
8,64
9,13
10,68
11,54
12,38
13,54
14,95
15,68
16,16
17,30
18,44
19,101
20,33
21,44
22,13
23,43
24,43
25,91
26,42
27,91
28,26
29,42
30,30
31,64
32,26
