sid,pid
1,39
2,79
3,77
4,57
5,42
6,31
7,69
8,39
9,10
10,98
11,0
12,1
13,10
14,94
15,45
16,44
17,77
18,44
19,0
20,79
21,32
22,71
23,1
24,90
25,85
26,67
27,98
28,71
29,90
30,85
31,69
32,32
33,45
34,94
35,31
36,42
37,67
38,57
