sid,pid
1,61
2,50
3,51
4,10
5,21
6,6
7,20
8,42
9,24
10,9
11,50
12,5
13,55
14,20
15,62
16,6
17,55
18,44
19,44
20,1
21,62
22,61
23,8
24,4
25,24
26,39
27,14
28,58
29,14
30,51
31,23
32,5
33,60
34,40
35,60
36,23
37,9
38,21
39,42
40,58
41,40
42,39
43,8
44,4
45,10
46,1
